URI,CIS,libelle,actif,dateDebut,dateFin,codeATC,libelleATC,typeProcedureCourante,statutCourant,categorie,causeNonVirtualisation,causeExceptionPrescriptionDC
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_63435884,63435884,"TOPALGIC 50 mg, gélule",true,1995-07-27,,N02AX02,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_68578473,68578473,"LOPERAMIDE EG 2 mg, gélule",true,1998-01-20,,A07DA03,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_68925283,68925283,"AMLODIPINE/VALSARTAN TEVA SANTE 10 mg/160 mg, comprimé pelliculé",true,2022-04-29,,C09DB01,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_66674494,66674494,"AVONEX 30 microgrammes/0,5 ml, solution injectable, en stylo prérempli",true,2011-05-27,,L03AB07,,Procédure centralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_68425029,68425029,"ALPRAZOLAM TEVA 0,50 mg, comprimé sécable",true,2003-06-11,,N05BA12,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_64877948,64877948,"ARIPIPRAZOLE EG 10 mg, comprimé orodispersible",true,2016-02-29,,N05AX12,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_61668199,61668199,"MIANSERINE TEVA 30 mg, comprimé pelliculé sécable",true,2001-07-06,,N06AX03,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_63386914,63386914,"CEFPODOXIME ZYDUS 100 mg, comprimé pelliculé",true,2007-06-06,,J01DD13,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_62459626,62459626,"PERMIXON 160 mg, gélule",false,2007-10-25,2021-01-01,G04CX02,,Autorisation d'importation parallèle d’une spécialité pharmaceutique en vue de la mise sur le marché en France,Archivé,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_64809598,64809598,"SPIRAMYCINE/METRONIDAZOLE SUN 1,5 M.U.I./250 mg, comprimé pelliculé",true,2005-11-24,,J01RA04,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_62264811,62264811,"ROFERON-A 3 millions d’unités internationales (UI), solution injectable en seringue préremplie",true,1999-11-22,,L03AB04,,Procédure de reconnaissance mutuelle,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60286556,60286556,"BIOCIDAN 0,1 mg/0,4 ml, collyre en récipient unidose",true,1994-12-21,,S01AX,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_67577233,67577233,"KALINOX 50 %/50 %, gaz médicinal comprimé",true,2001-11-15,,N01AX63,,Procédure de reconnaissance mutuelle,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60966449,60966449,"REPATHA 140 mg, solution injectable en stylo prérempli",true,2015-07-17,,C10AX13,,Procédure centralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_62243639,62243639,"CELESTENE 4 mg/1 ml, solution injectable",true,1997-11-21,,H02AB01,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_66154593,66154593,"PENTASA 1 g, granulés en sachet",true,1997-07-24,,A07EC02,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_61629157,61629157,"SOLIFENACINE EG 10 mg, comprimé pelliculé",true,2017-08-17,,G04BD08,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60327615,60327615,"ZALDIAR 37,5 mg/325 mg, comprimé pelliculé",true,2002-04-05,,N02AJ13,,Procédure de reconnaissance mutuelle,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_63001674,63001674,"ABIRATERONE TEVA 500 mg, comprimé pelliculé",true,2022-05-31,,L02BX03,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_61159056,61159056,"MIFLASONE 200 microgrammes, poudre pour inhalation en gélule",true,1993-08-03,,R03BA01,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_64634775,64634775,"ROCURONIUM VIATRIS 10 mg/mL, solution injectable/pour perfusion",true,2018-06-25,,M03AC09,,Procédure de reconnaissance mutuelle,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_61576943,61576943,"ACTIQ 600 microgrammes, comprimé avec applicateur buccal",true,2002-03-20,,N02AB03,,Procédure de reconnaissance mutuelle,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_61260984,61260984,"IPRATROPIUM VIATRIS 0,25 mg/ml ENFANTS, solution pour inhalation par nébuliseur en récipient unidose",true,2004-04-19,,R03BB01,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_64683217,64683217,"ARIXTRA 2,5 mg/0,5 ml, solution injectable en seringue pré-remplie",true,2002-03-21,,B01AX05,,Procédure centralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_67724733,67724733,"SIGNIFOR 0,9 mg, solution injectable",true,2012-04-24,,H01CB05,,Procédure centralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_63398286,63398286,"FRAGMINE 7 500 U.I. anti-Xa/0,3 ml, solution injectable en seringue pré-remplie",true,2010-01-20,,B01AB04,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_63752144,63752144,"PREGABALINE EG 200 mg, gélule",false,2015-10-27,2021-06-23,N02BF02,,Procédure décentralisée,Archivé,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_62157859,62157859,"BUVIDAL 64 mg, solution injectable à libération prolongée",true,2018-11-20,,N07BC01,,Procédure centralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60382608,60382608,"QUADRASA 2 g, poudre pour solution rectale",true,1996-06-04,,A07EC,,Procédure de reconnaissance mutuelle,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_61964013,61964013,"LEVETIRACETAM ARROW 100 mg/mL, solution buvable",true,2014-10-20,,N03AX14,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_68936600,68936600,"AMPHOSCA OVARYN, comprimé à croquer",true,2015-10-19,,V03AX,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_61824381,61824381,"EAU OXYGENEE 10 VOLUMES COOPER, solution pour application cutanée",true,2000-11-27,,D08AX01,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_65393373,65393373,"PUREGON 50 UI/0,5 ml, solution injectable",true,1999-04-26,,G03GA06,,Procédure centralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_65057814,65057814,"INEGY 10 mg/40 mg, comprimé",true,2005-07-28,,C10BA02,,Procédure de reconnaissance mutuelle,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_67907535,67907535,"SPIRONOLACTONE ALTIZIDE TEVA 25 mg/15 mg, comprimé pelliculé sécable",true,1996-01-16,,C03EA04,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_67050747,67050747,"RALOXIFENE TEVA 60 mg, comprimé pelliculé",true,2010-04-29,,G03XC01,,Procédure centralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_67393849,67393849,"OROKEN 200 mg, comprimé pelliculé",true,1988-09-05,,J01DD08,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_63763055,63763055,"REPAGLINIDE CRISTERS 0,5 mg, comprimé",true,2010-12-28,,A10BX02,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_65502762,65502762,"CAPECITABINE ACCORD 150 mg, comprimé pelliculé",true,2012-04-20,,L01BC06,,Procédure centralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_62939721,62939721,"CLARITHROMYCINE BIOGARAN 500 mg, comprimé pelliculé à libération modifiée",true,2009-12-14,,J01FA09,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_67084265,67084265,"ONBREZ BREEZHALER 150 microgrammes, poudre pour inhalation en gélule",true,2009-11-30,,R03AC18,,Procédure centralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_62505785,62505785,"RISPERIDONE EG 0,5 mg, comprimé orodispersible",true,2010-08-09,,N05AX08,,Procédure de reconnaissance mutuelle,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60330700,60330700,"MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM 400 mg/400 mg SANS SUCRE, comprimé à croquer édulcoré à la saccharine sodique, au sorbitol et au maltitol",true,1998-12-10,,A02AD01,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_66895806,66895806,"FLUCONAZOLE PFIZER 10 mg/ml, poudre pour suspension buvable",true,1995-02-23,,J02AC01,,Procédure de reconnaissance mutuelle,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_62554490,62554490,"NIFUROXAZIDE TEVA 200 mg, gélule",false,1999-02-10,2022-06-27,A07AX03,,Procédure nationale,Archivé,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_61630693,61630693,"CRATAEGUS OXYACANTHA TEINTURE MERE BOIRON, liquide oral",true,2018-12-07,,V03AX,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_65766192,65766192,"OZEMPIC 0,25 mg, solution injectable en stylo prérempli",true,2018-02-08,,A10BJ06,,Procédure centralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_67299307,67299307,"TOBREX 0,3 %, collyre en solution",true,1985-06-03,,S01AA12,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_66855039,66855039,"TRAVOPROST EG 40 microgrammes/mL, collyre en solution",true,2017-05-04,,S01EE04,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_60158147,60158147,"DICLOFENAC VIATRIS 1 %, gel",true,2008-01-25,,M02AA15,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_63686819,63686819,"AVODART 0,5 mg, capsule molle",true,2019-12-20,,G04CB02,,Autorisation d'importation parallèle d’une spécialité pharmaceutique en vue de la mise sur le marché en France,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_69181268,69181268,"TAMSULOSINE EVOLUGEN L.P. 0,4 mg, gélule à libération prolongée",true,2019-06-28,,G04CA02,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_68673035,68673035,"SEDASPIR, comprimé",false,1997-11-18,2020-09-09,N02AJ07,,Procédure nationale,Archivé,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_67703372,67703372,"ARGATROBAN ACCORD 1 mg/mL, solution pour perfusion",true,2017-11-03,,B01AE03,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_67554786,67554786,"TELMISARTAN/HYDROCHLOROTHIAZIDE ARROW 40 mg/12,5 mg, comprimé",true,2013-08-27,,C09DA07,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_64412162,64412162,"ECONAZOLE TEVA SANTE 1 POUR CENT, crème",true,1995-02-15,,D01AC03,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_67210778,67210778,"PRONTADOL ADULTES 500 mg/50 mg, comprimé pelliculé sécable",true,2019-06-25,,N02BE51,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_62824142,62824142,"INEXIUM 40 mg, comprimé gastro-résistant",true,2000-09-12,,A02BC05,,Procédure de reconnaissance mutuelle,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_69021776,69021776,"LERCANIDIPINE VIATRIS 20 mg, comprimé pelliculé sécable",true,2009-12-08,,C08CA13,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_65274084,65274084,"MELOXICAM SANDOZ 15 mg, comprimé sécable",true,2006-02-06,,M01AC06,,Procédure décentralisée,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_63659793,63659793,"ROXITHROMYCINE TEVA 100 mg, comprimé pelliculé",true,2003-02-24,,J01FA06,,Procédure nationale,Actif,,,
http://data.esante.gouv.fr/ansm/medicament/SpecialitePharmaceutique_66914174,66914174,"PROPOFOL PANPHARMA 10 mg/ml, émulsion injectable",false,2008-06-18,2021-09-07,N01AX10,,Procédure nationale,Archivé,,,
